timestamp,open,high,low,close
1742400240000,565.727,565.837,565.676,565.727
1742400300000,565.746,565.947,565.676,565.926
1742400360000,565.937,565.977,565.846,565.947
1742400420000,565.956,566.147,565.956,566.146
1742400480000,566.136,566.187,566.077,566.107
1742400540000,566.106,566.106,565.746,565.816
1742400600000,565.796,565.917,565.596,565.626
1742400660000,565.626,565.827,565.626,565.666
1742400720000,565.666,565.696,565.497,565.507
1742400780000,565.517,565.527,565.286,565.316
1742400840000,565.296,565.367,565.167,565.306
1742400900000,565.316,565.347,565.167,565.317
1742400960000,565.316,565.327,565.107,565.147
1742401020000,565.136,565.167,565.066,565.126
1742401080000,565.137,565.286,565.046,565.276
1742401140000,565.266,565.346,565.166,565.226
1742401200000,565.197,565.206,565.026,565.206
1742401260000,565.207,565.207,565.046,565.147
1742401320000,565.156,565.396,565.116,565.366
1742401380000,565.377,565.517,565.376,565.476
1742401440000,565.476,565.477,565.096,565.237
1742401500000,565.246,565.417,565.157,565.167
1742401560000,565.177,565.257,565.076,565.207
1742401620000,565.217,565.387,565.196,565.336
1742401680000,565.337,565.406,565.286,565.377
1742401740000,565.366,565.627,565.286,565.506
1742401800000,565.527,565.636,565.326,565.336
1742401860000,565.327,565.407,565.156,565.207
1742401920000,565.207,565.227,565.076,565.156
1742401980000,565.177,565.206,564.996,565.017
1742402040000,565.027,565.247,564.907,565.237
1742402100000,565.227,565.307,565.166,565.217
1742402160000,565.197,565.246,565.017,565.076
1742402220000,565.066,565.066,564.916,565.007
1742402280000,565.006,565.116,564.976,565.106
1742402340000,565.077,565.247,565.036,565.046
1742402400000,565.046,565.046,564.856,564.997
1742402460000,564.987,565.097,564.977,565.036
1742402520000,565.046,565.127,564.986,565.067
1742402580000,565.076,565.097,564.906,564.906
1742402640000,564.926,565.077,564.867,565.067
1742402700000,565.066,565.127,564.897,564.947
1742402760000,564.956,565.086,564.886,565.037
1742402820000,565.026,565.156,564.977,564.996
1742402880000,564.966,565.037,564.896,564.967
1742402940000,564.956,565.016,564.926,564.956
1742403000000,564.967,565.077,564.936,565.017
1742403060000,565.027,565.036,564.766,564.887
1742403120000,564.886,565.047,564.826,565.007
1742403180000,565.007,565.277,564.976,565.277
1742403240000,565.226,565.387,565.176,565.367
1742403300000,565.356,565.366,565.196,565.256
1742403360000,565.257,565.257,564.946,564.977
1742403420000,564.956,564.956,564.656,564.787
1742403480000,564.796,564.866,564.647,564.847
1742403540000,564.837,564.957,564.786,564.937
1742403600000,564.936,565.126,564.797,565.126
1742403660000,565.116,565.147,564.947,565.017
1742403720000,565.006,565.006,564.556,564.597
1742403780000,564.577,564.646,564.517,564.597
1742403840000,564.587,564.706,564.586,564.706
1742403900000,564.706,564.806,564.387,564.406
1742403960000,564.396,564.567,564.216,564.526
1742404020000,564.526,564.537,564.286,564.347
1742404080000,564.336,564.337,564.086,564.206
1742404140000,564.217,564.257,564.027,564.176
1742404200000,564.177,564.237,564.116,564.157
1742404260000,564.186,564.267,564.126,564.166
1742404320000,564.117,564.276,563.816,563.937
1742404380000,563.947,563.967,563.776,563.796
1742404440000,563.777,563.777,563.546,563.657
1742404500000,563.617,563.706,563.527,563.606
1742404560000,563.596,563.626,563.266,563.466
1742404620000,563.487,563.577,563.436,563.517
1742404680000,563.517,563.677,563.466,563.647
1742404740000,563.637,563.877,563.616,563.726
1742404800000,563.717,563.797,563.607,563.757
1742404860000,563.756,563.876,563.666,563.756
1742404920000,563.746,563.947,563.706,563.747
1742404980000,563.747,563.827,563.626,563.766
1742405040000,563.756,563.767,563.606,563.657
1742405100000,563.657,563.717,563.397,563.397
1742405160000,563.397,563.567,563.296,563.557
1742405220000,563.557,563.656,563.526,563.637
1742405280000,563.636,563.687,563.506,563.537
1742405340000,563.526,563.616,563.286,563.336
1742405400000,563.356,563.406,563.056,563.187
1742405460000,563.177,563.186,563.016,563.067
1742405520000,563.066,563.207,562.876,563.146
1742405580000,563.146,563.416,563.106,563.337
1742405640000,563.327,563.457,563.266,563.376
1742405700000,563.377,563.587,563.336,563.576
1742405760000,563.597,563.807,563.546,563.756
1742405820000,563.756,563.947,563.746,563.856
1742405880000,563.856,564.007,563.846,563.847
1742405940000,563.847,564.167,563.836,564.127
1742406000000,564.127,564.176,563.956,564.086
1742406060000,564.086,564.177,564.016,564.096
1742406120000,564.097,564.227,564.056,564.106
1742406180000,564.116,564.166,563.877,563.946
1742406240000,563.916,564.017,563.526,563.586
1742406300000,563.587,563.717,563.397,563.446
1742406360000,563.456,563.467,563.136,563.187
1742406420000,563.177,563.207,562.997,563.157
1742406480000,563.167,563.217,562.796,562.826
1742406540000,562.827,562.947,562.686,562.936
1742406600000,562.946,563.277,562.896,563.216
1742406660000,563.207,563.477,563.176,563.466
1742406720000,563.476,563.497,563.156,563.186
1742406780000,563.187,563.227,562.947,563.117
1742406840000,563.117,563.377,563.046,563.367
1742406900000,563.357,563.407,563.177,563.207
1742406960000,563.217,563.416,563.196,563.396
1742407020000,563.397,563.497,563.267,563.387
1742407080000,563.297,563.446,563.227,563.257
1742407140000,563.257,563.437,563.076,563.176
1742407200000,563.176,564.926,562.736,564.847
1742407260000,564.846,565.027,564.056,564.196
1742407320000,564.207,564.317,563.946,564.247
1742407380000,564.246,564.947,564.096,564.237
1742407440000,564.236,564.457,563.796,564.357
1742407500000,564.377,564.417,563.396,563.577
1742407560000,563.577,563.667,563.276,563.396
1742407620000,563.437,564.327,563.397,564.276
1742407680000,564.307,564.457,564.236,564.316
1742407740000,564.307,564.687,564.296,564.536
1742407800000,564.537,565.086,564.507,565.007
1742407860000,564.986,565.407,564.966,565.086
1742407920000,565.097,565.416,564.916,565.406
1742407980000,565.396,565.596,564.907,564.946
1742408040000,564.946,565.417,564.857,565.147
1742408100000,565.127,565.576,565.127,565.337
1742408160000,565.337,565.847,565.296,565.607
1742408220000,565.626,565.647,565.226,565.346
1742408280000,565.357,565.517,565.216,565.326
1742408340000,565.326,565.547,565.166,565.177
1742408400000,565.146,565.337,564.856,564.877
1742408460000,564.887,565.047,564.796,564.846
1742408520000,564.857,565.227,564.676,565.227
1742408580000,565.206,565.367,564.956,565.317
1742408640000,565.327,565.427,565.056,565.067
1742408700000,565.037,565.346,564.936,564.976
1742408760000,564.967,565.197,564.666,564.906
1742408820000,564.887,565.217,564.826,564.957
1742408880000,564.946,564.956,564.366,564.386
1742408940000,564.346,564.607,564.346,564.587
1742409000000,564.597,565.357,564.556,565.187
1742409060000,565.207,565.967,565.207,565.907
1742409120000,565.866,566.556,565.866,566.477
1742409180000,566.507,566.687,565.667,565.667
1742409240000,565.657,566.137,565.477,565.926
1742409300000,565.906,566.337,565.746,565.776
1742409360000,565.796,566.297,565.716,565.947
1742409420000,565.916,566.336,565.836,566.067
1742409480000,566.066,566.177,565.376,565.687
1742409540000,565.706,565.836,565.266,565.537
1742409600000,565.507,565.766,565.186,565.276
1742409660000,565.266,566.126,565.247,565.906
1742409720000,565.896,566.497,565.577,566.176
1742409780000,566.176,566.617,565.996,566.557
1742409840000,566.577,567.186,566.486,566.926
1742409900000,566.916,567.177,566.727,566.787
1742409960000,566.796,566.857,566.406,566.726
1742410020000,566.747,566.777,566.397,566.687
1742410080000,566.716,567.007,566.656,566.777
1742410140000,566.777,567.106,566.546,566.567
1742410200000,566.596,566.947,566.557,566.777
1742410260000,566.787,566.937,566.496,566.907
1742410320000,566.906,567.667,566.836,567.466
1742410380000,567.446,568.127,567.367,568.037
1742410440000,568.016,568.066,567.407,567.637
1742410500000,567.646,567.976,567.316,567.897
1742410560000,567.916,568.276,567.817,568.207
1742410620000,568.227,568.487,568.166,568.277
1742410680000,568.286,568.486,567.877,568.077
1742410740000,568.067,568.287,568.016,568.237
1742410800000,568.237,568.667,568.136,568.667
1742410860000,568.677,568.796,568.387,568.416
1742410920000,568.406,568.737,568.317,568.556
1742410980000,568.587,568.727,568.336,568.646
1742411040000,568.656,568.996,568.456,568.846
1742411100000,568.807,569.556,568.746,569.286
1742411160000,569.327,569.516,569.256,569.456
1742411220000,569.467,569.956,569.406,569.926
1742411280000,569.907,570.346,569.766,570.197
1742411340000,570.216,570.557,570.126,570.416
1742411400000,570.396,570.917,570.347,570.497
1742411460000,570.476,570.667,569.876,569.906
1742411520000,569.906,570.126,569.376,569.787
1742411580000,569.807,569.837,569.406,569.547
1742411640000,569.566,570.047,569.416,570.017
1742411700000,570.027,570.217,569.977,570.126
1742411760000,570.126,570.337,569.746,569.876
1742411820000,569.877,569.966,569.607,569.767
1742411880000,569.766,570.176,569.287,569.287
1742411940000,569.267,569.686,569.256,569.387
1742412000000,569.387,569.447,568.716,568.797
1742412060000,568.806,568.917,568.477,568.786
1742412120000,568.806,568.857,568.436,568.446
1742412180000,568.456,568.557,567.957,568.337
1742412240000,568.336,568.537,568.166,568.427
1742412300000,568.437,568.637,567.996,568.126
1742412360000,568.126,568.137,567.717,567.737
1742412420000,567.746,567.766,567.076,567.276
1742412480000,567.286,567.857,566.786,566.897
1742412540000,566.877,567.227,566.566,567.197
1742412600000,567.177,567.736,566.897,567.667
1742412660000,567.676,567.986,567.336,567.416
1742412720000,567.446,568.076,567.376,567.886
1742412780000,567.886,568.297,567.886,568.267
1742412840000,568.277,568.437,567.736,568.036
1742412900000,568.067,568.107,567.276,567.316
1742412960000,567.337,568.047,567.277,568.027
1742413020000,568.017,568.287,567.927,568.286
1742413080000,568.317,568.667,568.186,568.547
1742413140000,568.526,568.676,568.187,568.357
1742413200000,568.367,568.707,568.177,568.657
1742413260000,568.657,569.056,568.596,568.796
1742413320000,568.796,568.887,568.336,568.566
1742413380000,568.557,568.777,568.456,568.587
1742413440000,568.586,569.327,568.586,569.207
1742413500000,569.187,569.346,569.026,569.086
1742413560000,569.056,569.077,568.616,568.726
1742413620000,568.696,568.866,568.597,568.717
1742413680000,568.687,568.716,568.176,568.467
1742413740000,568.466,568.607,568.117,568.447
1742413800000,568.357,568.357,567.216,567.326
1742413860000,567.347,567.516,566.867,567.506
1742413920000,567.496,567.616,567.156,567.217
1742413980000,567.206,567.657,567.056,567.426
1742414040000,567.407,567.746,567.156,567.567
1742414100000,567.567,567.587,566.727,566.906
1742414160000,566.887,567.057,566.687,566.997
1742414220000,567.007,567.036,566.706,566.916
1742414280000,566.926,567.066,566.676,566.727
1742414340000,566.726,567.117,566.687,566.936
